Crop_Type,Temperature_C,Rainfall_mm,Irrigation_mm,N_Fertilizer,P_Fertilizer,K_Fertilizer,Yield_kg_per_ha
Maize,29.42,746.27,455.79,87.69,30.02,49.55,1978.73
Soybean,24.61,918.75,313.97,104.34,2.54,21.65,111.36
Rice,24.1,1007.86,223.35,180.2,30.99,32.66,3593.31
Soybean,40.97,1020.39,0.0,76.8,48.14,40.63,121.63
Maize,26.49,504.26,274.74,126.51,60.31,33.01,3780.2
Rice,21.24,714.75,251.1,179.8,16.56,58.06,2434.37
Soybean,22.87,1158.43,358.55,67.48,60.54,44.35,134.76
Rice,30.74,1068.39,276.91,135.76,27.04,58.16,2689.76
Maize,25.57,388.14,251.94,87.91,47.25,33.71,3255.4
Soybean,17.81,905.44,33.09,99.81,29.8,66.51,143.08
Rice,29.6,206.53,159.0,87.88,43.64,36.67,1364.11
Maize,21.66,814.08,371.5,90.73,57.84,20.58,2495.39
Rice,34.37,1369.33,557.39,228.88,15.46,83.55,1299.7
Rice,30.4,515.63,285.37,153.78,26.4,3.5,3036.79
Wheat,22.76,549.7,349.17,164.07,43.7,25.23,1527.17
Wheat,31.41,1029.21,442.87,139.68,88.03,27.46,555.23
Maize,25.34,337.16,178.37,55.75,22.74,90.17,1929.34
Wheat,29.26,610.17,355.02,135.8,80.8,76.14,1270.24
Maize,27.42,978.93,188.93,162.92,80.09,69.88,2892.31
Wheat,20.77,609.71,429.72,85.86,38.05,33.39,876.34
Rice,21.78,729.21,322.71,158.61,34.04,88.52,3287.26
Maize,30.15,1023.26,344.77,148.17,26.16,47.37,1917.35
Maize,23.33,926.46,182.61,194.08,38.64,59.55,2628.65
Rice,22.98,880.05,406.05,103.29,11.87,43.59,2800.36
Maize,20.22,698.26,612.71,76.1,38.48,39.01,1502.48
Maize,27.12,911.02,148.81,105.53,69.94,34.96,2531.38
Wheat,35.31,762.88,249.04,177.42,27.78,35.81,1195.86
Maize,19.66,937.34,334.74,46.86,35.19,52.17,1209.38
Soybean,25.12,650.92,417.96,37.26,5.98,47.34,289.9
Rice,32.06,745.23,216.07,123.58,47.48,39.37,2681.5
Wheat,24.6,503.01,0.0,102.3,45.29,70.19,2022.01
Wheat,27.26,789.5,503.88,120.31,41.27,0.0,434.77
Soybean,19.69,556.7,414.08,157.81,35.66,50.2,135.42
Rice,27.14,465.79,38.56,97.9,34.14,54.35,1671.5
Rice,24.06,877.6,208.86,45.08,50.04,62.94,1541.11
Wheat,29.93,863.82,535.23,201.78,39.42,38.7,216.08
Maize,30.94,1034.86,517.17,80.11,46.3,44.16,483.02
Wheat,37.95,670.66,440.8,77.64,44.3,59.72,636.21
Rice,27.9,922.42,273.58,164.15,62.47,69.82,3085.94
Soybean,26.63,965.24,312.45,104.62,53.54,33.99,141.04
Wheat,25.97,933.43,280.36,117.46,43.86,45.34,566.9
Rice,23.23,552.3,469.24,139.31,70.37,73.57,2851.61
Wheat,26.69,844.81,168.62,163.34,48.41,0.0,1198.66
Maize,23.52,909.24,179.13,106.66,66.1,26.2,2816.79
Wheat,25.84,802.15,451.54,180.8,52.14,69.32,450.57
Wheat,31.59,174.06,293.35,34.57,3.16,61.85,1329.52
Rice,19.97,848.15,506.77,150.39,66.1,50.45,3000.04
Rice,30.7,1463.76,199.27,86.42,42.7,31.03,2142.73
Rice,31.59,691.99,291.78,174.89,38.96,22.36,3231.71
Wheat,24.41,581.58,161.64,125.68,45.63,28.18,2488.71
Maize,14.39,912.0,301.1,93.08,33.1,70.96,2608.74
Soybean,21.96,893.71,78.22,146.51,44.54,27.43,93.68
Soybean,31.48,1157.82,226.85,155.73,28.16,42.03,125.53
Rice,24.89,422.64,84.56,145.68,65.49,24.93,1895.42
Rice,20.0,1019.41,404.09,78.81,37.73,56.86,2647.87
Wheat,22.48,977.13,407.49,100.64,32.35,29.23,562.54
Soybean,29.2,757.36,40.46,119.84,21.5,38.05,388.4
Rice,27.73,901.61,500.08,118.35,45.38,6.33,3215.18
Maize,23.81,1108.84,674.61,149.99,43.74,7.73,916.74
Maize,23.17,1061.69,306.9,39.4,47.77,40.15,797.64
Rice,23.04,457.09,203.83,133.37,19.45,13.5,2950.3
Rice,20.39,1046.05,723.65,108.4,7.98,82.1,2140.74
Soybean,33.08,780.59,102.15,86.46,52.51,0.0,243.08
Soybean,23.39,821.86,303.02,90.3,69.69,24.0,130.39
Wheat,31.09,821.96,326.94,111.42,19.47,40.33,479.88
Soybean,32.61,754.93,501.77,0.0,71.79,32.7,121.02
Maize,29.99,1157.51,353.96,91.95,45.68,17.92,728.35
Maize,22.84,774.88,225.2,84.97,39.86,20.84,2721.3
Rice,27.02,464.14,157.32,141.31,32.05,20.19,1906.05
Soybean,24.88,681.94,248.73,87.78,12.31,34.27,160.55
Wheat,20.48,853.61,148.96,111.4,59.75,79.04,1272.39
Maize,26.62,1168.76,307.17,181.69,24.49,41.56,1243.34
Maize,19.1,980.93,215.37,159.77,24.4,63.66,3188.24
Wheat,30.94,544.84,75.89,156.09,59.84,50.14,2609.59
Wheat,22.68,1545.56,488.27,100.01,2.34,62.28,530.48
Maize,26.01,879.43,225.35,141.72,9.53,0.0,3622.62
Maize,26.42,1182.62,109.78,110.64,39.64,33.91,1978.0
Wheat,23.71,754.49,274.76,112.16,45.87,66.14,1313.05
Maize,27.93,960.01,310.26,136.39,49.69,28.57,2951.23
Rice,22.63,1051.84,38.03,96.12,33.96,75.25,2417.22
Rice,29.36,1165.46,349.75,179.72,90.61,69.68,3168.01
Wheat,18.27,1117.21,142.93,113.59,35.44,30.62,471.21
Soybean,25.63,1061.66,556.65,144.73,35.38,29.94,109.78
Wheat,34.69,705.47,378.59,178.22,24.06,19.73,690.55
Wheat,20.0,628.48,240.02,161.27,42.48,27.41,1893.33
Soybean,21.61,899.78,188.22,63.64,52.3,15.35,218.49
Soybean,27.57,1079.94,284.25,137.8,64.07,48.58,108.46
Soybean,25.9,733.18,391.92,154.03,10.21,10.88,125.21
Rice,26.75,1119.55,296.18,155.67,35.08,52.07,2700.21
Maize,27.45,1235.79,267.43,75.47,48.93,52.56,515.81
Rice,28.17,525.1,308.76,93.72,51.74,6.78,2125.16
Maize,30.55,548.92,209.42,159.78,40.13,71.0,3643.57
Rice,27.05,757.89,248.52,89.53,50.85,50.27,2581.29
Maize,23.79,892.28,0.0,108.01,23.82,54.99,3705.28
Rice,28.36,642.63,446.06,183.04,71.16,24.83,2414.65
Soybean,34.5,1205.66,344.82,118.09,59.85,52.45,124.22
Wheat,24.34,927.22,183.98,90.93,13.1,62.53,569.7
Rice,20.13,811.83,584.81,84.9,18.5,38.03,2526.24
Maize,30.54,369.23,313.05,133.31,19.06,80.04,3425.49
Soybean,24.4,405.26,144.58,66.67,53.56,40.88,766.46
Rice,14.14,884.3,428.51,110.11,14.31,62.82,2987.12
Rice,29.24,160.22,359.71,133.33,33.38,45.86,1893.57
Soybean,22.32,1103.79,359.19,171.97,49.09,51.71,116.21
Rice,24.55,752.55,236.14,146.7,38.68,6.57,2260.55
Wheat,26.66,1772.93,367.57,91.44,45.18,47.42,516.83
Rice,25.95,1492.37,260.74,167.14,18.68,25.3,2523.67
Wheat,28.55,745.57,383.39,108.02,51.9,23.07,551.82
Wheat,22.82,768.1,14.26,70.57,27.74,74.88,1601.65
Soybean,27.57,1098.67,234.92,113.12,33.51,35.72,134.51
Rice,23.7,1310.95,558.32,177.53,44.75,19.93,1865.0
Soybean,28.69,308.59,184.94,126.61,42.06,32.82,572.7
Rice,28.08,264.09,209.42,120.5,40.48,13.99,2250.54
Rice,20.32,613.39,232.81,185.49,24.99,68.68,2405.82
Maize,30.43,974.82,117.78,62.75,34.01,26.09,2160.06
Rice,22.32,949.06,0.0,68.58,40.04,50.59,2149.01
Soybean,29.04,1120.93,265.41,55.37,12.5,67.12,267.92
Wheat,26.84,440.09,320.38,134.91,30.75,30.0,2350.42
Rice,34.19,105.16,292.12,126.66,47.75,50.64,1678.88
Maize,23.88,1057.4,278.27,181.71,14.45,19.4,2266.4
Soybean,23.25,551.54,306.46,129.74,63.13,88.92,290.89
Rice,24.9,194.45,453.43,103.83,65.39,58.73,2467.86
Soybean,23.48,843.52,271.43,120.07,15.1,36.15,104.25
Maize,29.0,1037.95,213.89,124.71,67.15,24.54,2722.09
Maize,16.92,763.38,257.83,53.13,37.13,37.72,2033.67
Soybean,19.73,662.65,386.9,228.41,48.37,33.2,128.38
Rice,19.66,752.19,511.8,140.79,30.07,79.06,3313.25
Wheat,29.75,688.83,205.78,128.4,58.46,15.49,1870.65
Maize,33.55,395.59,314.84,144.61,48.12,42.7,3088.83
Rice,24.48,585.6,350.75,148.38,23.72,39.63,2834.22
Rice,24.16,956.38,151.11,114.38,16.7,37.65,2537.07
Wheat,25.35,896.5,303.06,94.75,10.79,37.83,443.23
Maize,30.81,850.42,80.15,143.98,43.76,37.68,3274.67
Maize,20.36,501.46,34.64,135.43,51.45,57.46,3188.72
Rice,26.19,745.55,355.01,87.6,53.02,52.18,2323.27
Rice,29.88,146.88,242.42,176.76,37.64,48.38,1203.99
Wheat,27.51,853.54,330.34,131.73,16.86,0.0,529.98
Wheat,25.95,1228.66,297.32,149.19,26.36,46.0,575.45
Maize,30.01,357.76,153.54,175.68,63.05,6.89,3687.89
Soybean,11.48,624.22,293.21,120.88,30.31,52.93,178.11
Maize,28.39,898.73,115.03,132.68,42.87,69.49,3441.56
Rice,21.73,1175.85,508.65,152.4,18.49,21.48,2404.64
Maize,15.85,665.53,96.6,91.01,46.73,34.76,3053.45
Soybean,27.56,592.32,270.63,122.16,30.85,28.01,282.78
Wheat,31.87,209.32,143.66,125.02,60.93,64.71,1898.37
Soybean,24.31,831.03,385.56,81.76,55.47,41.9,140.19
Soybean,29.76,1412.62,250.29,212.71,30.09,74.57,102.15
Soybean,33.06,883.21,222.2,63.71,37.47,48.28,214.03
Wheat,31.57,793.32,427.98,68.08,28.98,44.85,403.8
Soybean,33.2,896.62,304.41,172.57,11.61,41.36,142.81
Soybean,28.71,796.67,377.5,148.53,22.85,56.36,124.09
Soybean,25.38,556.1,152.8,78.96,43.96,5.25,477.44
Rice,16.99,1046.98,89.28,144.29,46.51,41.71,2913.26
Soybean,23.77,867.73,316.08,178.71,42.97,38.6,120.48
Wheat,20.78,805.28,252.17,118.79,33.97,54.51,927.04
Soybean,35.85,507.39,393.97,223.95,58.66,36.25,197.03
Soybean,24.12,1191.05,288.01,51.04,41.27,19.23,228.59
Wheat,25.62,999.41,330.76,147.75,54.07,40.15,429.98
Soybean,27.76,634.12,56.49,166.66,4.52,18.34,517.61
Wheat,25.22,1100.55,583.27,155.65,0.0,1.49,470.29
Soybean,33.48,650.73,275.36,111.83,45.68,54.54,131.75
Wheat,21.89,565.4,404.64,108.38,11.5,51.58,1513.77
Soybean,25.97,572.09,174.59,137.77,35.75,49.34,479.54
Soybean,21.29,268.68,346.2,152.63,33.96,66.06,559.07
Rice,18.4,941.46,104.57,144.1,71.75,26.7,2759.39
Rice,21.94,250.66,367.81,161.6,48.0,11.38,2187.85
Soybean,24.81,431.47,246.6,79.25,43.32,38.6,495.57
Soybean,22.85,177.32,304.38,110.89,56.74,33.05,561.04
Maize,21.54,774.18,404.7,82.4,47.37,23.15,2238.88
Wheat,17.97,754.9,115.12,104.56,30.85,38.4,2413.76
Maize,24.58,701.99,197.33,160.61,61.43,27.77,3603.61
Rice,17.48,487.23,368.6,124.32,17.8,3.28,2588.52
Rice,28.8,448.33,614.73,224.27,46.46,31.18,2232.93
Rice,25.41,939.31,279.29,127.74,9.05,17.27,2732.4
Rice,17.71,634.83,388.67,122.39,44.08,44.63,3148.52
Soybean,23.45,894.91,283.95,124.25,43.86,26.88,91.55
Rice,21.24,534.43,591.34,94.49,73.53,62.23,2447.35
Soybean,26.6,854.32,37.92,117.69,8.7,72.08,249.65
Soybean,31.7,1190.98,314.19,165.11,27.98,53.59,116.47
Rice,15.62,975.85,56.17,124.56,56.45,8.98,2623.15
Rice,25.58,676.28,0.0,88.26,46.71,70.1,2111.73
Wheat,24.2,877.16,344.62,83.0,43.61,71.51,494.32
Maize,28.36,727.8,320.92,101.99,20.88,40.38,3004.15
Rice,26.07,802.36,257.27,122.95,28.18,66.46,2634.56
Wheat,21.24,702.32,284.07,167.74,64.9,28.97,1291.78
Wheat,23.4,750.7,764.74,66.38,38.97,2.68,385.66
Maize,21.02,863.63,261.27,107.21,47.51,24.79,3008.64
Soybean,30.38,501.99,376.52,125.77,37.7,74.59,294.14
Rice,25.11,495.24,202.6,46.65,16.34,10.18,972.68
Maize,34.51,383.44,344.28,86.66,58.68,39.99,2944.54
Rice,24.7,319.92,264.26,92.8,50.06,40.68,1564.32
Wheat,21.46,434.82,238.42,88.16,86.11,29.74,2851.95
Wheat,17.43,847.84,572.83,127.68,19.69,31.13,474.68
Soybean,15.98,532.16,476.58,113.58,56.45,41.44,128.96
Wheat,17.08,954.08,320.51,97.79,13.77,28.76,481.45
Wheat,26.34,810.41,0.0,137.12,43.15,11.56,1976.1
Maize,27.54,209.45,245.85,188.92,59.53,44.3,2949.84
Rice,17.09,996.49,705.45,185.57,0.0,61.47,2708.45
Rice,29.48,1043.24,265.4,43.09,35.9,57.39,1625.71
Maize,22.58,501.84,465.48,143.08,28.74,23.81,4378.39
Soybean,25.73,926.06,516.29,112.88,25.96,14.98,120.67
Rice,33.06,543.05,332.84,126.21,47.7,34.32,2790.19
Wheat,29.48,829.3,173.73,104.07,62.41,71.36,1312.2
Rice,23.66,420.65,0.0,124.7,37.33,52.91,1637.53
Wheat,20.54,262.07,402.62,126.06,44.11,54.08,2207.95
Soybean,14.24,685.15,177.79,96.84,42.29,57.8,286.24
Maize,21.4,762.88,326.42,84.15,40.04,48.42,2304.32
Rice,23.94,680.7,112.53,102.05,18.21,42.41,2493.06
Maize,20.06,444.79,260.21,129.37,62.17,53.25,3696.84
Rice,24.34,680.03,305.06,143.96,45.9,29.08,2982.53
Wheat,25.38,880.79,340.29,154.13,47.9,11.71,537.3
Maize,23.88,786.53,132.78,100.23,23.87,54.46,3139.54
Rice,21.75,854.75,479.54,131.35,30.82,64.75,3138.02
Wheat,25.84,598.97,210.47,158.5,36.48,17.64,2377.94
Maize,27.21,1151.52,48.83,166.62,9.32,56.44,3371.52
Maize,19.55,447.15,283.65,117.65,6.24,73.62,3902.4
Rice,32.05,946.27,305.16,111.16,27.99,39.96,2710.64
Rice,24.51,1154.57,324.09,127.64,50.45,23.64,2839.77
Rice,25.09,944.27,504.32,74.01,26.94,42.46,1861.47
Wheat,28.54,739.24,264.53,112.26,19.62,28.99,1430.18
Rice,26.17,641.51,282.06,149.78,23.71,27.67,2918.77
Maize,29.77,1110.83,134.52,145.68,30.89,48.66,2667.37
Maize,26.44,373.11,423.08,109.19,32.92,7.93,3735.7
Rice,21.94,508.96,327.65,128.71,83.31,11.12,2348.15
Rice,26.81,680.73,237.0,87.01,61.09,40.39,2723.61
Soybean,19.28,1171.3,14.3,148.14,60.5,39.55,130.82
Maize,25.54,913.93,516.66,116.89,63.37,46.87,1321.15
Wheat,24.83,509.59,115.85,108.96,20.02,77.5,2437.93
Soybean,23.96,706.91,211.31,105.53,15.55,42.09,188.89
Rice,24.36,615.7,353.75,117.48,17.86,51.96,3174.33
Rice,15.59,587.06,120.52,102.08,66.69,20.49,2266.43
Maize,22.26,1093.67,75.97,146.33,29.06,55.36,3080.89
Rice,25.46,388.48,0.0,104.19,14.97,29.47,1480.81
Wheat,25.8,1282.63,408.15,183.72,31.38,41.43,425.74
Maize,19.86,1048.47,218.22,178.61,35.23,37.82,2541.26
Rice,31.33,1127.26,739.09,84.34,45.37,60.66,1677.64
Maize,20.67,661.12,150.85,122.79,45.02,13.8,4126.32
Rice,29.85,755.02,161.78,93.97,23.44,0.0,2478.83
Rice,27.14,370.05,215.19,106.93,53.71,35.73,2263.81
Rice,21.77,642.6,336.47,200.1,27.22,49.37,2344.25
Wheat,33.88,948.1,229.47,107.7,36.87,43.05,484.67
Wheat,19.03,1188.82,391.85,134.41,53.74,64.64,566.08
Maize,29.6,467.85,153.21,141.65,27.16,48.75,3383.86
Rice,30.0,690.35,92.76,79.97,28.61,28.72,2039.29
Rice,21.65,754.61,30.27,85.8,51.83,0.0,2219.06
Wheat,31.96,381.26,0.0,71.76,22.85,35.25,1642.84
Rice,23.75,977.4,222.29,84.56,32.3,60.56,2335.74
Wheat,26.44,582.8,254.85,6.0,51.11,32.16,852.61
Rice,26.3,741.38,205.28,141.78,81.08,40.57,2871.15
Maize,24.33,664.42,486.51,202.17,52.11,48.43,3589.25
Rice,29.05,563.2,484.2,125.91,49.45,19.69,3319.77
Rice,28.97,797.89,249.78,63.35,50.62,52.46,1810.2
Soybean,16.26,735.32,30.91,94.29,18.54,72.74,434.68
Wheat,31.52,688.44,214.99,101.64,42.31,36.54,1940.35
Rice,16.69,581.46,210.03,79.3,39.4,17.42,2384.83
Rice,30.16,895.86,201.43,154.41,46.43,38.67,3189.27
Soybean,30.63,1296.09,195.34,152.41,42.33,0.0,123.49
Soybean,19.55,841.97,201.98,73.78,47.59,46.74,128.0
Wheat,22.95,1098.84,242.02,149.0,33.77,49.05,503.03
Soybean,19.47,382.93,204.67,181.07,41.17,73.51,527.63
Maize,23.93,847.33,331.25,196.1,15.44,36.12,3139.05
Soybean,23.46,470.79,354.06,234.61,33.6,48.17,397.34
Maize,28.9,356.92,163.4,83.92,67.82,22.77,2469.49
Wheat,31.55,578.19,490.66,232.97,46.38,32.87,394.43
Wheat,31.98,1157.57,152.99,105.83,39.58,9.5,481.19
Wheat,22.19,1085.0,57.33,96.3,77.92,36.1,369.57
Wheat,23.95,872.9,357.12,133.08,12.78,33.89,495.17
Wheat,16.58,340.19,177.39,96.72,17.81,45.98,2433.29
Maize,20.97,741.12,348.19,135.96,74.25,27.53,3103.41
Maize,29.82,890.51,0.0,67.2,40.92,41.67,2136.21
Wheat,33.08,852.66,508.87,110.45,35.15,33.33,453.13
Soybean,18.83,246.86,400.84,171.42,16.02,33.37,589.49
Rice,22.04,532.9,74.93,117.72,48.95,41.61,2592.92
Wheat,24.87,780.78,78.18,125.66,50.89,40.81,2310.46
Soybean,26.4,960.89,550.84,139.01,18.11,55.22,103.87
Rice,20.95,141.16,189.39,166.83,37.19,37.59,1527.72
Wheat,27.12,751.36,174.87,53.79,33.29,33.0,1151.87
Wheat,22.63,842.91,0.0,143.38,45.12,36.38,1895.02
Maize,24.93,1054.88,247.38,109.27,17.61,25.71,1958.44
Rice,27.73,1007.86,265.84,126.67,65.04,32.8,3123.29
Rice,25.03,974.77,407.32,162.4,58.32,80.62,3190.41
Soybean,22.82,560.02,90.14,72.23,32.74,21.75,540.54
Maize,24.45,227.6,71.96,79.49,35.67,34.43,1670.36
Maize,24.56,682.08,367.64,42.58,37.27,32.25,1600.28
Maize,23.15,1100.49,451.01,98.03,24.43,35.06,672.06
Maize,23.71,1218.04,64.33,173.22,31.13,33.38,2841.23
Rice,32.99,1013.16,462.23,115.18,34.59,45.58,2345.24
Rice,27.8,928.8,305.63,66.4,72.26,5.8,2082.78
Wheat,23.52,913.89,463.77,100.57,58.93,60.74,435.09
Wheat,28.48,633.16,289.47,60.49,58.69,52.65,1340.35
Maize,23.33,760.98,0.0,74.99,47.4,15.14,2587.51
Maize,30.87,1300.72,277.2,135.55,17.65,0.0,748.24
Maize,26.85,517.23,459.02,73.05,39.17,20.46,2278.84
Wheat,24.46,1284.43,165.94,164.51,59.41,35.15,368.05
Soybean,27.24,703.39,241.81,117.16,14.83,91.61,98.28
Soybean,17.15,1197.63,273.58,123.42,52.73,50.87,118.43
Wheat,19.37,377.96,0.0,108.87,86.45,3.85,2047.14
Wheat,19.03,975.77,550.7,150.91,61.24,26.21,435.77
Wheat,25.71,578.97,164.79,151.33,68.28,38.94,2489.29
Wheat,33.66,375.42,375.86,133.4,44.37,45.07,2113.62
Wheat,36.16,865.56,286.99,142.59,59.36,13.71,550.94
Wheat,28.19,1102.84,488.64,111.52,25.64,37.3,578.34
Maize,27.5,546.52,360.91,141.69,55.92,25.65,3019.93
Maize,15.99,350.3,264.76,106.48,53.09,17.92,3190.83
Maize,22.29,772.45,165.97,120.09,45.8,45.19,3317.03
Maize,21.06,773.77,419.68,109.01,66.32,55.48,1818.88
Wheat,21.9,964.5,18.98,101.71,29.22,56.82,1236.24
Soybean,24.16,1084.88,396.88,92.44,36.26,51.49,129.3
Rice,22.64,782.18,135.14,138.71,41.91,30.05,3386.62
Wheat,15.1,1356.65,487.84,172.42,19.41,54.29,442.81
Rice,28.74,867.27,324.19,166.84,44.54,46.18,3058.4
Soybean,19.64,696.07,396.62,69.74,5.62,42.68,141.88
Maize,26.2,316.53,312.3,171.57,60.94,27.77,4449.45
Soybean,35.37,721.2,37.14,107.27,40.93,30.06,534.3
Wheat,20.4,699.08,170.89,144.03,29.58,41.48,1802.82
Maize,12.35,1088.09,400.86,83.75,23.31,88.8,592.96
Wheat,23.57,938.75,325.0,125.68,35.31,46.02,394.22
Maize,30.5,446.19,477.15,132.55,53.77,27.78,4117.25
Rice,34.79,851.68,360.49,60.62,50.95,23.35,1939.42
Rice,18.85,1001.46,154.99,144.33,25.89,30.16,3046.65
Rice,27.48,1258.41,180.59,173.84,23.08,83.55,2306.17
Soybean,22.67,1066.25,315.44,113.01,53.14,32.01,110.96
Wheat,24.47,1028.25,0.0,174.41,25.55,58.14,949.52
Soybean,38.22,818.03,551.02,112.41,41.2,32.48,122.49
Rice,17.49,916.49,366.26,153.98,42.48,45.22,2864.73
Wheat,26.27,1174.85,484.06,31.26,46.24,55.83,207.09
Rice,27.34,400.17,62.91,216.75,57.17,28.56,1385.51
Soybean,30.43,695.17,486.68,179.82,14.74,27.18,134.5
Soybean,25.49,568.23,634.72,108.61,1.78,73.18,122.94
Soybean,26.54,913.75,101.87,41.12,28.65,59.69,318.13
Rice,23.04,1169.07,415.71,131.52,76.03,55.81,2412.93
Wheat,26.35,620.91,300.17,62.24,80.44,55.75,970.69
Wheat,23.28,82.91,68.33,137.79,76.62,49.19,1021.32
Rice,28.11,676.33,373.93,136.46,36.14,80.36,2675.69
Wheat,23.15,1074.04,425.04,82.34,4.36,40.88,467.34
Rice,26.89,961.29,209.83,164.84,0.0,51.55,3944.94
Wheat,24.85,928.46,474.89,152.22,27.72,10.98,496.83
Maize,30.63,716.0,49.99,159.03,36.04,23.5,5016.94
Maize,24.74,416.29,75.79,120.35,66.01,15.98,3210.14
Soybean,16.13,954.59,320.49,63.38,57.36,65.48,189.7
Maize,31.31,549.72,303.81,159.11,44.55,0.0,4065.78
Maize,20.47,1455.23,192.51,109.19,22.2,31.95,798.19
Maize,21.73,971.15,421.44,64.41,20.78,0.0,1264.55
Rice,22.02,625.81,379.63,174.08,45.08,23.37,2683.05
Maize,31.87,616.58,428.72,203.98,53.94,30.18,3650.46
Maize,14.32,772.12,281.53,118.35,47.84,67.7,2725.92
Soybean,40.69,728.15,390.39,206.36,19.31,47.93,129.9
Maize,30.28,1135.05,233.15,123.65,53.01,23.34,2068.12
Maize,26.12,855.92,608.07,104.78,48.52,61.32,1033.61
Wheat,24.73,580.51,178.12,94.78,18.59,40.36,2075.81
Soybean,26.43,1367.13,615.79,185.48,24.31,40.75,124.32
Soybean,27.61,814.79,305.23,88.79,53.77,15.95,125.01
Soybean,28.23,1030.65,93.67,149.41,35.31,20.2,120.97
Soybean,27.78,617.53,505.21,97.63,71.78,23.5,122.14
Soybean,25.45,908.93,318.89,101.59,50.02,40.93,117.91
Soybean,24.01,893.33,427.67,161.21,30.27,41.56,131.95
Rice,24.24,233.11,483.58,104.8,39.8,70.88,2456.58
Maize,24.03,1404.58,350.69,103.81,41.27,47.7,593.53
Soybean,30.67,1187.19,211.16,165.31,25.43,0.0,107.87
Maize,27.97,680.84,446.36,183.9,21.75,45.25,3244.65
Maize,10.3,469.32,300.11,145.79,54.03,11.0,4135.25
Rice,28.28,904.27,402.88,93.81,56.91,20.68,2601.93
Soybean,25.97,826.01,0.0,99.58,52.08,23.76,322.74
Wheat,24.91,906.7,367.05,123.2,70.31,26.73,512.72
Rice,23.06,857.47,204.21,132.84,29.16,12.5,2825.24
Wheat,30.62,951.87,548.0,80.49,73.49,44.07,486.01
Maize,29.74,1234.19,393.46,148.92,21.98,11.78,802.27
Maize,21.14,970.43,335.98,123.42,19.75,47.13,2094.75
Rice,27.04,485.1,372.95,51.37,4.8,84.74,1617.03
Rice,20.14,1208.77,150.23,82.84,31.08,13.41,2675.27
Wheat,18.1,1292.18,543.49,99.83,29.93,34.31,458.42
Soybean,21.87,1745.62,598.71,117.09,50.52,0.0,124.83
Wheat,29.31,462.95,358.94,195.57,44.88,33.98,1307.01
Rice,29.77,872.86,538.56,129.53,16.14,52.85,2975.27
Wheat,27.57,175.37,214.63,86.37,32.15,54.41,1891.77
Rice,28.63,965.94,180.43,128.83,32.57,41.55,2967.52
Wheat,27.58,635.54,306.14,105.92,4.48,57.79,1851.0
Rice,21.79,1377.03,365.24,132.99,20.38,90.92,2136.22
Rice,27.16,567.62,240.9,143.22,24.58,74.25,2319.65
Rice,29.0,293.25,380.67,168.37,68.67,29.55,2079.19
Soybean,28.77,658.62,345.96,119.03,43.83,10.98,105.95
Wheat,30.94,207.35,150.25,185.56,53.24,31.88,1565.86
Wheat,28.54,1025.33,377.82,156.32,10.03,21.06,390.99
Wheat,26.76,180.48,429.53,91.7,63.88,49.03,2292.23
Rice,30.35,808.54,325.72,208.39,66.02,16.38,2700.97
Wheat,24.87,176.66,472.9,133.08,0.03,38.54,2556.18
Wheat,20.59,703.91,117.39,86.6,25.89,56.76,1918.35
Rice,24.18,1293.01,370.19,186.12,49.92,37.99,2452.9
Maize,21.28,908.19,124.46,203.11,52.89,21.07,3640.6
Rice,21.62,540.95,132.89,118.68,26.43,63.5,2266.98
Wheat,24.28,790.64,205.36,99.85,33.89,2.42,1342.97
Rice,21.04,805.41,158.69,113.11,28.05,33.44,3318.1
Maize,23.46,941.79,217.8,148.59,42.21,39.17,3346.26
Rice,15.53,389.94,267.88,171.11,63.94,40.32,2921.6
Wheat,26.07,977.77,425.57,142.82,24.58,43.61,458.25
Maize,25.01,0.0,251.83,124.07,60.02,52.21,1902.98
Soybean,20.91,611.03,62.16,179.92,24.37,39.29,457.67
Wheat,28.3,653.52,471.01,107.49,23.05,32.64,535.87
Maize,29.69,990.0,174.44,161.24,56.37,31.85,3732.27
Maize,16.96,806.79,291.19,108.48,58.44,27.77,2755.36
Soybean,21.19,378.33,366.98,137.24,57.03,55.75,543.01
Rice,21.15,504.5,329.94,115.46,13.68,27.07,2258.49
Rice,20.3,859.6,464.13,117.77,30.68,56.94,2534.42
Wheat,29.15,776.28,371.85,104.9,56.46,40.38,475.42
Soybean,24.03,626.26,170.8,173.79,40.83,29.57,385.73
Rice,23.68,655.75,626.78,90.68,18.53,52.37,2758.14
Soybean,14.98,1008.85,329.15,90.39,49.17,25.45,125.41
Rice,28.18,644.69,277.9,204.84,25.7,52.76,2362.5
Maize,18.8,773.57,444.59,159.11,75.89,44.25,2830.18
Rice,25.3,1450.98,337.42,24.6,70.9,28.07,882.41
Soybean,26.39,372.9,359.88,97.39,52.08,50.57,426.97
Maize,31.8,244.45,673.83,47.52,67.22,50.93,1655.21
Maize,18.46,1035.08,258.73,81.97,41.3,63.15,1929.56
Maize,9.9,596.41,252.34,0.0,55.31,59.32,1302.64
Soybean,25.92,704.53,317.49,114.52,69.55,49.83,139.41
Wheat,34.0,565.65,460.73,74.32,44.91,17.45,1024.75
Wheat,31.19,722.06,74.02,122.4,34.9,88.97,2059.7
Wheat,26.05,1279.56,5.17,55.0,5.91,11.93,382.0
Soybean,22.54,1040.64,211.93,123.32,38.34,58.99,137.82
